○158|53○T_StartupDay
●158|53●T_StartupDay

○251|96○T『一人で図書室へ行く』⇒こだま＋１、こだまフラグ１Ｏｎ
●251|96●T『一人で図書室へ行く』⇒こだま＋１、こだまフラグ１Ｏｎ

○347|76○T『二人で図書室へ行く』⇒つばさ＋１
●347|76●T『二人で図書室へ行く』⇒つばさ＋１

○1384|72○T『雪村に声をかける』⇒小町＋１
●1384|72●T『雪村に声をかける』⇒小町＋１

○1456|78○T『青葉ちゃんに声をかける』⇒変化なし
●1456|78●T『青葉ちゃんに声をかける』⇒変化なし

○2337|49○TCmn0414
●2337|49●TCmn0414

○2508|57○T_CreateSaveText
●2508|57●T_CreateSaveText

○2565|53○T_PrintParam
●2565|53●T_PrintParam

○2775|54○TBGSP_06g.gpd
●2775|54●TBGSP_06g.gpd

○2938|46○T浅間
●2938|46●T浅間

○3043|83○「おーい、桜井と八重樫、ちょっといいかー」
●3043|83●「おーい、桜井と八重樫、ちょっといいかー」

○3166|46○T舞人
●3166|46●T舞人

○3212|51○「あん？」
●3212|51●「あん？」

○3303|48○Tつばさ
●3303|48●Tつばさ

○3410|55○「なんすか？」
●3410|55●「なんすか？」

○3545|113○　簡単な朝のホームルームが終わると同時に、担任教師が俺たちを呼びつけた。
●3545|113●　簡単な朝のホームルームが終わると同時に、担任教師が俺たちを呼びつけた。

○3698|121○　前後に並ぶ席に座っていた二人、のろのろと立ちあがって鈍い足取りで教壇へ向かう。
●3698|121●　前後に並ぶ席に座っていた二人、のろのろと立ちあがって鈍い足取りで教壇へ向かう。

○4067|46○T浅間
●4067|46●T浅間

○4172|89○「実は、学級委員のおまえたちに頼みがあるんだが」
●4172|89●「実は、学級委員のおまえたちに頼みがあるんだが」

○4341|127○　保健体育教諭・浅間弥太郎が、手にしていた封書からＡ４サイズのＯＡ用紙を数枚抜きだす。
●4341|127●　保健体育教諭・浅間弥太郎が、手にしていた封書からＡ４サイズのＯＡ用紙を数枚抜きだす。

○4508|105○　俺たちは一瞬のアイコンタクトで、互いのよからぬ予感を共有した。
●4508|105●　俺たちは一瞬のアイコンタクトで、互いのよからぬ予感を共有した。

○4762|46○T浅間
●4762|46●T浅間

○4867|99○「いいか、たかが一学級といってもこれは立派な生活共同体だ」
●4867|99●「いいか、たかが一学級といってもこれは立派な生活共同体だ」

○5065|179○「共同体には、向かうべき方向性というものが必要になる。それが定まっていないと、各自がバラバラに歩きだして収拾がつかなくなってしまうからな」
●5065|179●「共同体には、向かうべき方向性というものが必要になる。それが定まっていないと、各自がバラバラに歩きだして収拾がつかなくなってしまうからな」

○5393|48○Tつばさ
●5393|48●Tつばさ

○5500|49○「はあ」
●5500|49●「はあ」

○5629|121○　表向きは優等生で教師受けもいい八重樫が、俺の代わりに気のない返事をしてくれた。
●5629|121●　表向きは優等生で教師受けもいい八重樫が、俺の代わりに気のない返事をしてくれた。

○5899|46○T浅間
●5899|46●T浅間

○6004|119○「そこで、この二年Ａ組の目指すべきベクトルを、学級委員のおまえたちに一任する」
●6004|119●「そこで、この二年Ａ組の目指すべきベクトルを、学級委員のおまえたちに一任する」

○6203|107○　そう言って鬼浅間は、俺に白紙を、八重樫に太めの黒ペンを握らせた。
●6203|107●　そう言って鬼浅間は、俺に白紙を、八重樫に太めの黒ペンを握らせた。

○6350|123○　要するに学級目標を作れということらしい。黒板の横とか上に貼るアレだな、懐かしい。
●6350|123●　要するに学級目標を作れということらしい。黒板の横とか上に貼るアレだな、懐かしい。

○6513|46○T舞人
●6513|46●T舞人

○6559|139○「はっはっはっ。先生、気は確かですか。僕らは子供じゃないんですよ、そんな幼稚なことしなくても……」
●6559|139●「はっはっはっ。先生、気は確かですか。僕らは子供じゃないんですよ、そんな幼稚なことしなくても……」

○6847|46○T浅間
●6847|46●T浅間

○6952|53○「桜井……」
●6952|53●「桜井……」

○7085|83○　鬼浅間が笑顔を浮かべてにじり寄ってきた。
●7085|83●　鬼浅間が笑顔を浮かべてにじり寄ってきた。

○7358|93○　二つの握りこぶしが、俺の両こめかみを捕え蠕動する。
●7358|93●　二つの握りこぶしが、俺の両こめかみを捕え蠕動する。

○7870|46○T浅間
●7870|46●T浅間

○7975|113○「あーのーなー、おまえはあのとき遅刻してくれたから知らないだろうがなぁ」
●7975|113●「あーのーなー、おまえはあのとき遅刻してくれたから知らないだろうがなぁ」

○8187|117○「そんな幼稚なことをしなきゃ治まらない子供ばかりのクラスなんだよ、ここは！」
●8187|117●「そんな幼稚なことをしなきゃ治まらない子供ばかりのクラスなんだよ、ここは！」

○8344|46○T舞人
●8344|46●T舞人

○8390|55○「痛っ、痛っ」
●8390|55●「痛っ、痛っ」

○8485|101○「分か……分かりました先生！　お、俺たちに、まかっ、まかっ」
●8485|101●「分か……分かりました先生！　お、俺たちに、まかっ、まかっ」

○8825|46○T浅間
●8825|46●T浅間

○8930|75○「んー、そうかあ、先生嬉しいぞう」
●8930|75●「んー、そうかあ、先生嬉しいぞう」

○9104|69○「八重樫、おまえも頼んだぞ」
●9104|69●「八重樫、おまえも頼んだぞ」

○9213|48○Tつばさ
●9213|48●Tつばさ

○9320|67○「はー、まー、それなりに」
●9320|67●「はー、まー、それなりに」

○9626|46○T舞人
●9626|46●T舞人

○9672|55○「くぅー……」
●9672|55●「くぅー……」

○9767|119○「あの暴力豪腕教師め、さわやかにローランドゴリラみたいな怪力出しやがって……」
●9767|119●「あの暴力豪腕教師め、さわやかにローランドゴリラみたいな怪力出しやがって……」

○9966|157○　見ろ、何一つ書きこんでないうちから、すでに紙がくしゃくしゃになってしまった。これじゃ使いものにならないじゃないか。
●9966|157●　見ろ、何一つ書きこんでないうちから、すでに紙がくしゃくしゃになってしまった。これじゃ使いものにならないじゃないか。

○10163|46○T舞人
●10163|46●T舞人

○10209|111○「というわけで先生、今年度のクラス目標は『神をたたえよ』になりました」
●10209|111●「というわけで先生、今年度のクラス目標は『神をたたえよ』になりました」

○10410|59○「……紙だけにね」
